distance_km,id_or_name,lat,lon,source_file
24.148,RN017851,-22.179404,133.441314,Bores_Ti_Tree.csv
24.180,RN018740,-22.186087,133.453567,Bores_Ti_Tree.csv
24.204,RN005468,-22.160224,133.395942,Bores_Ti_Tree.csv
24.212,RN017605,-22.18367,133.450121,Bores_Ti_Tree.csv
24.227,RN017931,-22.190917,133.461913,Bores_Ti_Tree.csv
24.233,RN017855,-22.181166,133.446143,Bores_Ti_Tree.csv
24.244,RN017843,-22.192422,133.464408,Bores_Ti_Tree.csv
24.260,RN017932,-22.190895,133.462427,Bores_Ti_Tree.csv
24.261,RN017858,-22.183192,133.450194,Bores_Ti_Tree.csv
24.305,RN017845,-22.192056,133.464868,Bores_Ti_Tree.csv
24.346,RN043688,-22.575904,133.251468,Bores_Ti_Tree.csv
24.455,RN013550,-22.586965,133.33805,Bores_Ti_Tree.csv
24.467,RN018741,-22.18108,133.450324,Bores_Ti_Tree.csv
24.533,RN043686,-22.574653,133.241924,Bores_Ti_Tree.csv
24.542,RN043744,-22.570563,133.230473,Bores_Ti_Tree.csv
24.565,RN017222,-22.146507,133.323876,Bores_Ti_Tree.csv
24.567,RN017221,-22.146495,133.32374,Bores_Ti_Tree.csv
24.571,RN017215,-22.146453,133.3236,Bores_Ti_Tree.csv
24.582,RN005033,-22.146501,133.33255,Bores_Ti_Tree.csv
24.587,RN005526,-22.146385,133.317822,Bores_Ti_Tree.csv
24.596,RN017219,-22.146407,133.333492,Bores_Ti_Tree.csv
24.602,RN002446,-22.179778,133.19721,Bores_Ti_Tree.csv
24.602,RN017214,-22.146317,133.332519,Bores_Ti_Tree.csv
24.609,RN017213,-22.146142,133.327764,Bores_Ti_Tree.csv
24.683,RN040117,-22.575156,133.239205,Bores_Ti_Tree.csv
24.686,RN016908,-22.178875,133.197222,Bores_Ti_Tree.csv
24.688,RN005635,-22.145901,133.33996,Bores_Ti_Tree.csv
24.742,RN005194,-22.145975,133.347337,Bores_Ti_Tree.csv
24.768,RN005525,-22.14552,133.303027,Bores_Ti_Tree.csv
24.778,RN005575,-22.146427,133.354721,Bores_Ti_Tree.csv
24.784,RN013549,-22.59009,133.334608,Bores_Ti_Tree.csv
24.806,RN005581,-22.160398,133.413674,Bores_Ti_Tree.csv
24.806,RN005582,-22.160398,133.413674,Bores_Ti_Tree.csv
24.820,RN005573,-22.14605,133.354733,Bores_Ti_Tree.csv
24.820,RN005574,-22.14605,133.354733,Bores_Ti_Tree.csv
24.827,RN017606,-22.185497,133.463756,Bores_Ti_Tree.csv
24.828,RN017934,-22.191339,133.472237,Bores_Ti_Tree.csv
24.868,RN017933,-22.176614,133.449927,Bores_Ti_Tree.csv
24.874,RN005517,-22.146546,133.362112,Bores_Ti_Tree.csv
24.936,RN005509,-22.153343,133.39602,Bores_Ti_Tree.csv
